127.0.0.1 - - [23/Apr/2014:10:13:16 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:13:17 -0600] "GET /hellorest-server/WEB-INF/classes/edu/neumont/csc380/hello/service/HelloWorldServiceImpl.java HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:13:31 -0600] "GET /hellorest-server/rest/auth.create HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:13:31 -0600] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:13:35 -0600] "GET /hellorest-server/rest/auth/create HTTP/1.1" 405 -
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:13:37 -0600] "GET /hellorest-server/rest/auth/create HTTP/1.1" 405 -
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:13:38 -0600] "GET /hellorest-server/rest/auth/create HTTP/1.1" 405 -
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:13:39 -0600] "GET /hellorest-server/rest/auth/create HTTP/1.1" 405 -
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:13:39 -0600] "GET /hellorest-server/rest/auth/create HTTP/1.1" 405 -
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:13:40 -0600] "GET /hellorest-server/rest/auth/create HTTP/1.1" 405 -
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:13:41 -0600] "GET /hellorest-server/rest/auth/create HTTP/1.1" 405 -
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:14:11 -0600] "GET /hellorest-server/rest/auth/create HTTP/1.1" 405 -
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:16:18 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:10 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:13 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:14 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:14 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:14 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:14 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:14 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:14 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:15 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:15 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:15 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:15 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:15 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:15 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:16 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:16 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:16 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:16 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:16 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:17 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:17 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:20 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:21 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:21 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:21 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:21 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:21 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:21 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:21 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:21 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:22 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:22 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:22 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:22 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:22 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:22 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:22 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:22 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:23 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:23 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:23 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:23 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:23 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:23 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:23 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:23 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:24 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:24 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:24 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
